SSOC,ISCO-08
-,1113
11110,1111
11121,1112
11122,1112
11140,1114
11150,1114
11160,1114
11201,1120
11202,1120
11203,1120
12111,1211
12112,1219
12113,1211
12121,1212
12122,1212
12123,1212
12131,1213
12132,1213
12133,1213
12191,1219
12192,1219
12193,1219
12194,1219
12195,1219
12199,1219
12211,1221
12212,1221
12213,1221
12214,1221
12215,1221
12221,1222
12222,1221
12230,1223
12241,1219
12242,1219
13100,1311
13100,1312
13210,1321
13230,1323
13241,1324
13242,1324
13243,1324
13244,1324
13245,1324
13291,1321
13291,1323
13292,1321
13292,1323
13299,1322
13301,1330
13302,1330
13303,1330
13304,1330
13410,1341
13420,1342
13430,1343
13441,1344
13442,1344
13451,1345
13459,1345
13461,1346
13462,1346
13463,1346
13491,1349
13492,1349
13493,1349
13499,1349
14110,1411
14121,1412
14122,1412
14123,1412
14201,1420
14202,1420
14310,1431
14321,1431
14322,1431
14323,1431
14324,1431
14325,1431
14329,1431
14330,1349
14330,1431
14391,1412
14391,1439
14392,1439
14399,1439
21110,2111
21120,2112
21130,2113
21141,2114
21142,2114
21149,2114
21211,2120
21212,2120
21213,2120
21221,2120
21222,2120
21231,2120
21231,3314
21239,2120
21239,3314
21311,2131
21312,2131
21319,2131
21321,2132
21329,2132
21331,2133
21332,2133
21339,2133
21341,2131
21342,2131
21343,2131
21344,2131
21345,2131
21346,2131
21347,2131
21349,2131
21411,2141
21412,2141
21413,2141
21414,2141
21415,2141
21421,2142
21422,2142
21430,2143
21441,2144
21442,2144
21443,2144
21444,2144
21451,2145
21452,2145
21453,2145
21454,2149
21460,2146
21471,2144
21472,2144
21473,2144
21474,2144
21475,2144
21491,2149
21492,2149
21493,2149
21494,2149
21495,2149
21496,2149
21497,2149
21498,2149
21499,2149
21511,2151
21512,2151
21513,2151
21521,2152
21522,2152
21523,2152
21524,2152
21525,2152
21526,2152
21531,2153
21532,2153
21610,2161
21621,2162
21622,2162
21631,2163
21632,2163
21641,2164
21649,2164
21651,2165
21652,2165
21659,2165
21661,2166
21662,2166
21663,2166
21664,2166
21669,2166
21670,2166
21711,3151
21712,3151
21713,3152
21714,3152
21721,3153
21722,3153
21723,3153
21724,3153
21729,3153
22110,2211
22121,2212
22122,2212
22123,2212
22124,2212
22125,2212
22126,2212
22127,2212
22128,2212
22129,2212
22131,2212
22132,2212
22133,2212
22134,2212
22135,2212
22136,2212
22137,2212
22138,2212
22139,2212
22141,2212
22142,2212
22143,2212
22144,2212
22145,2212
22146,2212
22147,2212
22148,2212
22150,2212
22200,2221
22200,2222
22301,2230
22302,2230
22500,2250
22611,2261
22612,2261
22621,2262
22629,2262
22631,2263
22632,2263
22639,2263
22640,2264
22651,2265
22652,2265
22661,2266
22662,2266
22670,2267
22680,2269
22691,2269
22692,2269
22693,3211
22694,3211
22699,2269
22699,3211
23101,2310
23102,2310
23103,2310
23109,2310
23200,2330
23300,2320
23400,2330
23500,2341
23611,2351
23612,2351
23619,2351
23621,2352
23622,2352
23629,2352
23690,2359
24111,2411
24112,2411
24113,2411
24121,2412
24122,2412
24131,2413
24132,2413
24133,2413
24134,2413
24135,2413
24139,2413
24141,3311
24142,3311
24143,3311
24149,3311
24151,3311
24152,3311
24153,3311
24154,3311
24159,3311
24160,3321
24211,2421
24212,2421
24213,2421
24220,2422
24231,2423
24232,2423
24233,2423
24234,2423
24240,2424
24251,3339
24252,2149
24252,3339
24291,2421
24291,2422
24299,2421
24299,2422
24311,2431
24312,2431
24313,2431
24314,2431
24315,2431
24320,2432
24331,2433
24332,2433
24333,2434
24334,2433
24339,2433
24339,3322
24351,3324
24352,3324
24353,3324
24361,3324
24362,3324
25111,2511
25112,2511
25113,2511
25121,2512
25122,2513
25123,2513
25140,2514
25151,2519
25152,2519
25190,2519
25211,2521
25212,2521
25220,2522
25231,2523
25232,2523
25239,2523
25241,2529
25242,2529
25243,2529
25244,2529
25245,2529
25249,2529
25291,2529
25299,2529
26111,2611
26112,2611
26119,2611
26120,2612
26191,2619
26199,2619
26211,2621
26212,2621
26213,2621
26221,2622
26229,2622
26310,2631
26321,2632
26322,2632
26331,2633
26339,2633
26341,2634
26342,2634
26343,2634
26349,2634
26351,2635
26352,2635
26353,2635
26359,2635
26361,2636
26369,2636
26371,2635
26372,2635
26373,2635
26374,2635
26375,2635
26379,2635
26411,2641
26412,2641
26413,2641
26414,2641
26415,2641
26419,2641
26421,2642
26422,2642
26431,2643
26432,2643
26511,2651
26519,2651
26521,2652
26522,2652
26523,2652
26524,2652
26529,2652
26530,2653
26541,2654
26542,2654
26543,2654
26544,2654
26549,2654
26550,2655
26561,2656
26569,2656
31001,3112
31002,3113
31003,3114
31004,3115
31005,3111
31006,3119
31009,3119
31111,3111
31112,3111
31119,3111
31121,3112
31122,3112
31123,3112
31124,3112
31129,3112
31131,3113
31132,3113
31141,3114
31141,3155
31142,3114
31143,3114
31144,3114
31151,3115
31152,3115
31153,3115
31161,3116
31162,3116
31163,3116
31164,3116
31171,3115
31172,3115
31173,3119
31174,3115
31175,3115
31181,3118
31182,3118
31183,3118
31184,3118
31185,3118
31189,3118
31211,3115
31212,3115
31213,3115
31214,3115
31291,3119
31292,3117
31293,3119
31294,3119
31295,3119
31299,3119
31310,3131
31321,3132
31322,3132
31323,3132
31324,3132
31325,3132
31329,3132
31331,3133
31332,3133
31341,3134
31342,3134
31350,3135
31391,3139
31392,3139
31399,3139
31411,3141
31412,3141
31419,3141
31421,3142
31422,3142
31423,3142
31510,3151
31521,3152
31522,3152
31529,3152
31540,3154
31560,3152
31571,1324
31572,1324
31573,1324
31574,1324
31579,1324
31591,3152
31592,3152
31593,3153
31594,4323
31595,4323
31596,4323
31597,4323
31599,3152
31599,3153
31599,4323
31601,5153
31602,3143
31603,3143
31711,3112
31711,3119
31719,3112
31719,3119
31720,3119
31720,3257
32111,3211
32112,3211
32119,3211
32120,3212
32130,3213
32141,3214
32142,3214
32143,3214
32200,3221
32200,3222
32200,3256
32300,3230
32400,3240
32510,3251
32530,3253
32540,3254
32551,3255
32559,3255
32571,3257
32572,3257
32591,2240
32591,3258
32599,3259
33121,3312
33129,3312
33131,3313
33132,3313
33133,3313
33151,3315
33152,3315
33153,3315
33211,3321
33219,3321
33221,3322
33222,3322
33223,3322
33224,3322
33225,3322
33229,3322
33231,3323
33232,3323
33291,3339
33299,3339
33311,3331
33312,3331
33313,3331
33320,3332
33330,3333
33340,3334
