word,count
design,820
system,788
work,740
application,673
strong,608
technology,589
data,583
support,501
engineering,498
project,479
product,434
solution,408
year,401
develop,398
including,387
management,373
code,358
requirement,352
ensure,347
working,345
knowledge,344
skill,338
testing,335
environment,335
computer,334
service,322
across,321
using,310
engineer,308
security,305
build,298
related,295
development,288
platform,288
science,276
architecture,273
performance,272
understanding,270
maintain,266
backend,262
best,260
communication,256
java,254
cloud,253
collaborate,250
degree,247
user,245
integration,239
opportunity,237
singapore,231
test,227
lead,225
agile,224
deployment,222
systems,221
scalable,219
new,218
practice,212
solutions,210
quality,210
apis,210
tool,209
candidate,207
implement,205
database,204
information,203
web,199
programming,199
responsibility,195
building,195
python,194
customer,194
familiarity,192
handson,186
infrastructure,186
deliver,184
sap,184
field,182
delivery,181
closely,181
complex,180
skills,180
framework,179
good,176
key,176
proficiency,170
practices,169
cicd,165
preferred,165
company,164
applications,164
frontend,163
documentation,161
manage,161
within,160
process,159
learning,158
join,156
drive,155
bachelor,155
requirements,154
provide,151
client,150
team,150
lifecycle,150
aws,148
production,147
need,147
full,147
you,146
please,145
developing,144
research,144
stakeholder,144
experience,140
global,139
automation,138
crossfunctional,138
issue,138
use,137
participate,137
coding,136
developer,136
secure,136
sql,135
looking,134
help,133
core,133
life,133
devops,130
required,130
methodology,129
one,128
modern,128
problemsolving,126
enterprise,125
model,125
designing,124
etc,124
implementation,124
apply,123
javascript,123
qualification,123
people,122
industry,119
relevant,119
teams,118
analysis,117
language,116
review,116
feature,115
services,114
pte,114
impact,114
ltd,113
enhance,112
professional,111
digital,111
meet,111
innovation,110
based,110
personal,110
pipeline,110
standard,109
andor,109
leadership,109
employment,109
create,108
career,108
least,107
expertise,106
continuous,104
highquality,104
level,103
ensuring,102
contribute,102
spring,102
control,102
operational,100
analytical,100
learn,100
following,100
react,99
stack,99
like,97
excellent,96
collaboration,96
internal,96
capability,95
microservices,95
world,94
problem,94
network,94
responsible,94
responsibilities,94
make,92
leading,91
technologies,91
seeking,91
high,91
